Reaction,Min,Max
ALDD2x,3.873726000638888e-06,0.2007740606198699
AMID4,-9.386743892063141e-14,4.25166478791168e-14
AMMQT8,6.672116856702085e-09,9.93572032516964e-05
AMMQT8_2,5.986576557467627e-12,7.829379156827973e-05
AMPTASECG,6.433296745496364e-08,0.2998698805073071
ANPRT,8.318624728195845e-05,0.029927228465733
ANS,8.318624728195845e-05,0.0299272284657329
APRAUR,7.40599896168295e-08,0.0003395729458835
ARACHTA,3.4832773793562353e-08,0.0080421218713439
ARB_Dabc,-1.158503009827905e-16,6.534016593229672e-16
ARBabc,1.4420046593918916e-06,0.2113617630774884
ARBt2r,-0.2113617630774884,-1.4420046593918916e-06
ARGDr,2.0804497920496563e-07,0.1137474958710243
ARGSL,1.5139892120916772e-05,0.1268614556390597
ARGSS,1.5139892120880757e-05,0.1268614556390694
ARGt5r,-0.0308196097441718,-4.8056327977204e-08
ASAD,-0.2148767268230067,-0.000410953233371
ASNN,2.1175667597964236e-08,0.0625447275406001
ASNS1,1.418803467247467e-07,0.0746973680060368
ASNt2r,-0.0551858047169551,-2.0061158776985845e-08
ASP1DC,0.0002321707041606,0.4088320428421715
ASPCT,6.823886647165572e-07,0.0292035806941606
ASPK,0.000410953233371,0.2148767268230144
ASPO5,6.405443624450226e-08,0.0548785913628454
ASPTA,-0.6103384235574546,-0.0064095071391531
ASPt2r,-0.1505619988604785,-5.401249425566942e-08
AST,2.3492672778320227e-08,0.0370206518132212
ATPPRT,1.1810473328401031e-06,0.0264723405873386
ATPS4r,0.6401523619028935,1.760171889300411
BALAt2r,-0.4079872828267639,-6.333382100046074e-06
BDH,-1.6899878154504762e-08,1.3554399342977735e-08
BMNMSHS,-9.686746441277139e-14,2.7247522628425664e-14
BMNt,-3.6006009889678366e-14,8.91235979144574e-14
BPNT,2.2829897871909776e-08,0.0664420572915093
BTS2,-0.0080060624892171,-1.4147369399293551e-08
BTS3r,-0.0080060624892171,-1.4147369390955458e-08
CAATPS,8.471753856130841e-07,0.8272318901830469
CAT,9.350858025316397e-08,0.0809793564386492
CAt4,-1.6544637803660935,-1.6943507712261682e-06
CBPS,1.0080204076784767e-06,0.0533084483480953
CDAPPA160,3.5107027859751984e-08,0.0910988198439366
CDAPPA160190,3.5107027859771386e-08,0.0999494008745437
CDAPPA190,3.510702786000349e-08,0.0866426310932513
CDPMEK,1.5660800713277576e-05,0.0871906620582302
CDPPT160,3.51070278599477e-08,0.0675485252739418
CDPPT160190,2.6131994371592183e-08,0.0001198179752172
CHLabc,1.7769671804553365e-07,0.1056899359198081
CHORM,2.665959686906041e-07,0.048098693612845
CHORS,0.0051990828087715,0.3317895209814133
CHRPL,5.0046542704495765e-05,0.3317028547914937
CIGAMS,2.7640623841681732e-08,0.0001267352018314
CITLr,3.630394573700445e-06,0.5648591287135726
CITabc,0.6292089495518124,0.9999893940821482
CLPNS160190,1.2362321762063816e-08,5.668256090416984e-05
CMCBTFL,4.269788555746408e-09,3.523588054590083e-05
CMCBTFU,4.269788553576504e-09,3.5235880545880315e-05
CO2t,-1.4173983354983746,-6.140726031354207e-05
COAt,-0.0109388775846116,-7.642976784516266e-09
COBALTt5,-3.9263441045026274e-13,2.3329631034397374e-14
COCHL,-2.3305441614989718e-14,3.920603051216813e-13
COt,0.2085700639214757,1.7062498034599882
CPPPGO,3.3759565630005612e-09,1.5479108278611943e-05
CS,1.883510895327249e-05,0.3146148628412281
CTPS1,7.589264163340066e-07,0.2175053529451384
CTPS2,3.5461267136574565e-08,0.1289032258221185
CYO1a,5.014192299342298e-05,0.7419699424027729
CYO1b,0.000166226130184,0.7797701204889577
CYRDAAT,-2.3305441614989718e-14,3.920603051216822e-13
CYRDAR,-1.1652720807494859e-14,1.9603015256084097e-13
CYSS,2.560998992825628e-09,0.0100989661670114
CYSTL,2.0755246627865658e-07,0.2403611883072849
CYSTS,3.257750068720877e-06,0.2403792517328455
CYTBD,0.4496715440891225,1.9451455487903848
CYTBD2,9.43461863390344e-05,1.1370047347568353
CYTD,5.2660541789999215e-08,0.1159786906445303
CYTDK2,7.021405571978542e-08,0.2157286105190187
CYTDt2r,-0.0282821779305134,-1.26980619005104e-08
CYTK1,-0.0535951785917701,0.2574674657155437
CYTK2,1.2366726874424263e-08,0.0849493881535475
Cuabc,1.7553513929996198e-08,0.1217333044965207
Cut1,1.7553513929996198e-08,0.1217333044965207
DADA,4.848113371144095e-08,0.1605376865114982
DADK,-1.527972019657285e-05,0.0967793329408351
DAGK160,1.2705400558752128e-07,0.1967511708353863
DALAOX,3.861730646299252e-05,0.2113084869550049
DALAt2r,-0.234444220370625,-1.3887288251999603e-06
DAPDC,1.8050367245342154e-07,0.079296425006611
DAPE,1.8464554608702418e-07,0.0793045630254119
DASYN160,6.272214892559775e-05,0.1682668717511695
DASYN160190,9.889778973622105e-08,0.100116928647309
DASYN190190,4.7365961028803236e-08,0.0866615413186422
DB4PS,1.4811997923377276e-07,0.0006791458917673
DCPDPP,1.0950961969156297e-07,0.0005021132605378
DCPDPS,7.148427845102394e-10,0.0002064055398905
DCPE,1.0950961969156301e-07,0.0005021132605378
DCPT,1.0950961969156063e-07,0.0005021132605382
DCTPD,-6.815021421068171e-15,1.0576885283153971e-14
DCTPD2,1.0532108357942017e-07,0.1871323428857731
DDPA,0.007187060548405,0.3317896083264373
DESAT16,3.7347801452916255e-06,0.0578640652588102
DESAT18,5.257889437682662e-06,0.1060271577515506
DHAD1,0.0107885481008848,0.8199253609881209
DHAD2,0.0004099420115428,0.1582908088058694
DHDPRy,1.846455460870242e-07,0.0793045630254119
DHDPS,1.846455460870242e-07,0.0793045630254118
DHFR,-639.083293008284,-0.0919913905553357
DHFS,1.6881312485456414e-09,7.739554666051622e-06
DHNAOT,2.4897661169541873e-08,0.0001141584261269
DHNPA,2.2938265413135469e-10,6.733814148370921e-06
DHNPA2,9.94548204548638e-11,7.299981615374123e-06
DHORTS,-0.0292035806941607,-6.823886647165571e-07
DHPPDA,9.231453820049717e-10,0.0002347721435725
DHPPDA2,1.1716470106780768e-08,0.0003018532998876
DHPS2,9.94548190936686e-11,7.299981615372913e-06
DHQD,0.0071870605484071,0.3317896083264372
DHQS,0.0071870605484071,0.3317896083264372
DMATT,3.764827799713116e-06,0.0214949175447168
DMPPS,1.6446797360869698e-08,0.0504061171672356
DNMPPA,1.6881312485455336e-09,7.739554666056074e-06
DNTPPA,1.6881312485456542e-09,7.739554666059273e-06
DPCOAK,4.899840749973022e-08,0.0110651098062839
DPPS,2.265634750534743e-11,0.0002406229284163
DPR,4.899840749972703e-08,0.0110651098062838
DRPA,5.658947762500472e-08,0.0320242499568687
DSERt2r,-2.908159664807251e-14,6.420359804519098e-14
DTMPK,7.418224890234988e-08,0.1487502374601208
DUTPDP,1.127748301963312e-07,0.0940581313879319
DXPRIi,1.5660800713284162e-05,0.087190662058232
DXPS,1.5662488690305152e-05,0.0871940604989785
ENO,2.2642528298137568,2.7902773025469223
ETHAt,-0.034333802215675,-8.271654506922444e-07
EX_acysbmn,-9.68581322700201e-14,2.7261082539384133e-14
EX_ala_B,6.333382107026411e-06,0.407987282826773
EX_ala_D,1.3887284395618787e-06,0.2344442203705892
EX_ala_L,4.4332158028853225e-08,0.2746558494524609
EX_arab_D,0.0,0.0
EX_arg_L,4.805632797723656e-08,0.030819609744179
EX_asn_L,2.0061158777139836e-08,0.0551858047169547
EX_asp_L,5.4012502626813925e-08,0.1505619988604386
EX_bmn,-3.6007238831162373e-14,8.912709638906298e-14
EX_cit,-0.9999893940806744,-0.6292089495518032
EX_co2,6.140726028722697e-05,1.4173983354983064
EX_coa,7.64297678461631e-09,0.0109388775846174
EX_cobalt2,-3.924930183531957e-13,2.3329599138326567e-14
EX_cytd,1.2698072043616369e-08,0.0282821779305094
EX_etha,8.271654511553395e-07,0.034333802215678
EX_fe3,-3.869777121940823e-05,-8.439887648331062e-09
EX_fum,2.1804308473008256e-06,0.3151079794728607
EX_gal,-5.067620042143318e-20,1.350757073110948e-18
EX_glc,-0.9999992856276898,-0.9130860713562268
EX_glu_L,-0.9999998511976314,-0.8117656154813794
EX_gly,1.6350608004922729e-07,0.3231351162259365
EX_glyc3p,-7.899196156638394e-29,3.705412411602477e-29
EX_glyc,-0.9999998694362976,-0.7015213919696524
EX_gthrd,7.35225927983454e-14,2.3113039349908986e-12
EX_h2,8.484922955287184e-06,1.093036385502997
EX_h2co3,0.000263413778116,2.385852406902024
EX_h2o,1.6152442063259156,3.74954145315326
EX_h2s,6.511965751451726e-08,0.135855121838309
EX_h,-0.5446640657873825,3.354823939948792
EX_hdca,-1.221726064690814e-13,1.2859001237860394e-13
EX_his_L,6.301707814552391e-09,0.0232241241396861
EX_id3acald,3.397820225458081e-07,0.0271534037665309
EX_ile_L,1.4296117168497843e-05,0.1356941604556647
EX_lac_L,5.0981807370913416e-05,1.0937246148330595
EX_lcts,-5.64832442491752e-15,4.5867504764669805e-15
